,ohms
10
15
22
30
39
47
68
75
100
150
220
270
330
360
470
510
680
1000
2000
2200
3300
4700
5100
6800
10000
15000
22000
30000
47000
51000
68000
100000
220000
300000
470000
680000
1000000
